Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.11,0.03,0.03,0.03
Robinson: The Journey,PS4,2016,Action,Crytek,0.1,0.06,0,0.03
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.19,0
Just Dance 2017,PS4,2016,Misc,Ubisoft,0.05,0.11,0,0.03
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.11,0.04,0,0.03
MotoGP 14,PS4,2014,Racing,Milestone S.r.l.,0.05,0.11,0,0.03
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.06,0.07,0.03,0.03
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.09,0.04,0.03,0.03
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.06,0.07,0.03,0.03
7 Days to Die,PS4,2016,Action,Telltale Games,0.08,0.08,0,0.03
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.04,0.02
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0,0.03
Yakuza Kiwami,PS4,2016,Adventure,Sega,0,0,0.17,0
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.11,0,0.04,0.02
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0.04,0,0.12,0.01
Killing Floor 2,PS4,2016,Shooter,Tripwire Interactive,0.11,0.03,0,0.03
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.06,0.06,0.02,0.02
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.08,0.06,0,0.03
Putty Squad,PS4,2013,Platform,System 3,0.06,0.07,0,0.03
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0,0.08,0.06,0.01
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.08,0.03,0.02,0.02
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.06,0.06,0.01,0.02
Resident Evil 6,PS4,2016,Shooter,Capcom,0.09,0,0.04,0.02
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.04,0.08,0,0.02
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.06,0.05,0.02
Yakuza: Ishin,PS4,2014,Action,Sega,0,0,0.15,0
Digimon World: Next Order,PS4,2017,Action,Namco Bandai Games,0.07,0.04,0.01,0.02
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.04,0.02,0.07,0.01
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.06,0.06,0,0.02
Song of the Deep,PS4,2016,Action,Insomniac Games,0.11,0,0,0.03
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.07,0,0.05,0.02
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.04,0.02,0.06,0.01
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.05,0.06,0,0.02
Super Robot Wars V,PS4,2017,Misc,Namco Bandai Games,0,0,0.13,0
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.04,0.07,0,0.02
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.09,0,0.02,0.02
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.08,0,0.03,0.02
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.05,0.06,0,0.02
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.11,0,0.02
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02
Sword Art Online: Hollow Fragment,PS4,2015,Role-Playing,Namco Bandai Games,0,0.1,0,0.02
